,A,B,C
2022-01-01,0.3777068002802947,0.07593816081506888,0.35921286379775996
2022-01-02,0.6966673503300472,0.16688056770937776,0.7999539750029171
2022-01-03,0.509899466508849,0.9569653006408716,0.6357241475405516
2022-01-04,0.06973185317208175,0.06270760180547275,0.8539809857290911
2022-01-05,0.8150457325232686,0.305877367842355,0.316991261016354
2022-01-06,0.4718735179757364,0.4695259807938452,0.5289829210102327
2022-01-07,0.6499358222228713,0.9783872162291147,0.44019330220804265
2022-01-08,0.9055428916709597,0.856465575823341,0.12600683677664648
2022-01-09,0.6075267319298157,0.8607685938489101,0.18616685996396842
2022-01-10,0.6580468990091928,0.39670105636906583,0.0038040296155729125
